reference_answer,student_answer,score
"Machine learning is a subset of artificial intelligence that enables computers to learn from data without being explicitly programmed. It uses algorithms to parse data, learn from it, and make informed decisions.","Machine learning allows computers to learn from data automatically. It is part of AI and uses algorithms to make decisions.",85
"Photosynthesis is the process by which green plants use sunlight, water, and carbon dioxide to produce food in the form of glucose. Oxygen is released as a byproduct.","Photosynthesis is how plants make food using sunlight and water. They take in CO2 and release oxygen.",80
"The water cycle describes the continuous movement of water on, above, and below the surface of the Earth. It includes processes like evaporation, condensation, precipitation, and collection.","Water cycle is evaporation and rain. Water goes up and comes back down as precipitation.",60
"Newton's first law of motion states that an object at rest stays at rest and an object in motion stays in motion unless acted upon by an external force. This is also called the law of inertia.","Newton first law says things keep doing what they are doing unless a force stops them. It is called inertia.",75
"Democracy is a system of government where citizens exercise power directly or elect representatives to do so. Key principles include majority rule, protection of minority rights, and free elections.","Democracy means people vote for their leaders. Everyone gets a say in the government through elections.",65
"The mitochondria is an organelle found in eukaryotic cells that generates most of the cell's supply of adenosine triphosphate (ATP), which is used as a source of chemical energy.","Mitochondria is the powerhouse of the cell. It produces ATP which is energy for the cell.",70
"Gravity is a fundamental force of nature that attracts objects with mass toward one another. On Earth, gravity gives weight to physical objects and causes them to fall toward the ground when dropped.","Gravity pulls things down. It is a force that makes objects fall and gives them weight.",72
"The French Revolution began in 1789 and was a period of radical political and social transformation in France. It ended the monarchy and established republican ideals of liberty, equality, and fraternity.","French Revolution happened in 1789. It removed the king and brought ideas of freedom and equality to France.",78
"Osmosis is the movement of water molecules through a semipermeable membrane from a region of lower solute concentration to a region of higher solute concentration.","Osmosis is when water moves through a membrane from low concentration to high concentration area.",82
"The solar system consists of the Sun and the objects that orbit it, including eight planets, their moons, dwarf planets, asteroids, and comets.","Solar system has the Sun and eight planets orbiting it.",90
"Respiration is the biochemical process in which the cells of an organism obtain energy by combining oxygen and glucose.","Respiration is how cells get energy using oxygen and glucose.",80
"Artificial Intelligence is the simulation of human intelligence processes by computer systems including learning, reasoning, and self-correction.","Artificial Intelligence simulates human thinking in computers. It includes learning and reasoning.",88
"Climate change refers to long-term shifts in temperatures and weather patterns caused mainly by human activities like burning fossil fuels.","Climate change means temperatures are changing over time. Humans cause it mainly by burning fossil fuels.",79
"Supply and demand is an economic model that explains how prices are determined in a market.","Supply and demand determines prices in the market.",73
"The human immune system is a complex network of cells, tissues, and organs that work together to defend the body against pathogens.","Immune system protects body from bacteria and viruses.",77
"Python is a high-level, interpreted programming language known for its simplicity and readability.","Python is a simple and readable programming language.",81
"Blockchain is a distributed ledger technology that records transactions across many computers so that the record cannot be altered.","Blockchain records transactions across many computers in a way that cannot be changed.",85
"DNA is a molecule that carries the genetic instructions for development and consists of two strands forming a double helix structure.","DNA carries genetic information and has a double helix shape.",84
"The digestive system breaks down food into nutrients that the body can absorb and includes the stomach and intestines.","Digestive system processes food and absorbs nutrients using stomach and intestines.",78
"A database is an organized collection of structured information managed by systems like MySQL and PostgreSQL.","Database stores organized data managed by MySQL or PostgreSQL.",75
"Evolution by natural selection is the process by which organisms with favorable traits survive and reproduce more successfully.","Natural selection means organisms with good traits survive better.",82
"Quantum mechanics describes nature at the scale of atoms and introduces wave-particle duality and quantum entanglement.","Quantum mechanics explains atoms and introduces wave-particle duality and entanglement.",80
"The Renaissance emphasized humanism, art, literature, and science from the 14th to 17th centuries in Europe.","Renaissance was a period of art and culture in Europe from 14th to 17th century.",76
"The speed of light in vacuum is approximately 299792 kilometers per second and nothing can travel faster according to Einstein.","Speed of light is about 300000 km per second and nothing can travel faster.",78
"The greenhouse effect warms Earth as greenhouse gases trap heat radiated from the surface back to space.","Greenhouse effect traps heat on Earth using greenhouse gases.",79
"Osmosis involves movement of water through a semipermeable membrane from low to high solute concentration.","Osmosis is water moving through membrane from low concentration to high concentration.",82
"Plate tectonics describes movement of Earth lithospheric plates causing earthquakes volcanoes and mountains.","Plate tectonics explains how plates move causing earthquakes and volcanoes.",83
"The water cycle includes evaporation condensation precipitation and collection processes continuously.","Water cycle has evaporation condensation and precipitation stages.",65
"Diabetes occurs when pancreas cannot produce enough insulin causing elevated blood sugar levels.","Diabetes happens when body cannot make enough insulin causing high blood sugar.",76
"The French Revolution transformed France politically and socially ending monarchy and establishing republican ideals.","French Revolution ended monarchy and brought republican ideas of freedom.",78
